key,value,verified,path1,path2
grav_force2,1.0e-41,False,['D3-D12-69'],['D3-D9-62']
time_dilation2,1.0,False,['D4-D5-70'],['D4-D6-64']
particle_scale2,1.0e-14,False,['D2-D8-71'],['D2-D11-63']
thermal_energy2,1.0e-21,False,['D6-D9-72'],['D6-D9-58']
quantum_length2,1.0e-13,False,['D1-D2-73'],['D1-D4-0']
charge_density2,1.0e-21,False,['D8-D11-74'],['D2-D11-63']
binding_energy2,1.0e-17,False,['D7-D8-75'],['D7-D9-68']
matter_density2,1.0e22,False,['D3-D9-76'],['D3-D9-62']
force_coupling2,1.0e-3,False,['D10-D11-77'],['D1-D7-66']
event_time2,1.0e-21,False,['D4-D6-78'],['D4-D5-70']
charge_scale3,1.602e-20,False,['D2-D11-79'],['D8-D11-74']
unified_force2,1.0e42,False,['D1-D7-80'],['D10-D12-65']
charge_balance2,1.758e13,False,['D8-D10-81'],['D8-D11-79']
energy_ratio2,1.0e13,False,['D7-D9-82'],['D7-D8-75']
grav_coupling3,1.751e-47,False,['D3-D12-83'],['D3-D9-76']
time_scale3,1.0e-19,False,['D4-D5-84'],['D4-D6-78']
thermal_scale3,1.0e-19,False,['D6-D9-85'],['D6-D9-72']
particle_scale3,1.0e-13,False,['D2-D8-86'],['D2-D11-79']
quantum_length3,1.0e-12,False,['D1-D2-87'],['D1-D4-0']
charge_density3,1.0e-22,False,['D8-D11-88'],['D2-D11-79']
binding_energy3,1.0e-16,False,['D7-D8-89'],['D7-D9-82']
matter_density3,1.0e21,False,['D3-D9-90'],['D3-D9-76']
force_ratio3,1.0e-3,False,['D10-D12-91'],['D1-D7-80']
relativistic_time3,1.0e-20,False,['D4-D6-92'],['D4-D5-84']
charge_scale4,1.602e-21,False,['D2-D11-93'],['D8-D11-88']
planck_force3,1.210e44,False,['D1-D7-94'],['D10-D12-91']
charge_ratio3,1.758e12,False,['D8-D10-95'],['D8-D11-93']
energy_scale3,1.0e14,False,['D7-D9-96'],['D7-D8-89']
grav_force3,1.0e-42,False,['D3-D12-97'],['D3-D9-90']
time_dilation3,1.0,False,['D4-D5-98'],['D4-D6-92']
thermal_energy3,1.0e-20,False,['D6-D9-99'],['D6-D9-85']
